"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UKMS74IA","book","1993","","Negotiation: strategies for mutual gain: the basic seminar of the Harvard Program on Negotiation","","978-0-8039-4849-5 978-0-8039-4850-1","","","","","1993","2025-04-28 19:46:22","2025-04-28 19:52:55","","","212","","","","","Negotiation","","","","","Sage Publications","Newbury Park, Calif","","","","","","Library Catalog (Blacklight)","BF637.N4 N44 1993","","","","https://catalog.libraries.psu.edu/catalog/1878753","Physical","Conflict management; Interpersonal conflict; Negotiation; Program on Negotiation at Harvard Law School","Hall, Lavinia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K53LQSRH","book","1995","Nierenberg, Gerard I.","The art of negotiating: psychological strategies for gaining advantageous bargains","","978-1-56619-816-5","","","","","1995","2025-04-28 19:46:56","2025-04-28 19:53:52","","","195","","","","","The art of negotiating","","","","","Barnes & Noble Books","New York","","","","","","Library Catalog (Blacklight)","158.5","OCLC: 32787463","","","https://catalog.libraries.psu.edu/catalog/3862692","Physical","Negotiation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YQMS6E2","book","1981","Pruitt, Dean G.","Negotiation behavior","","978-0-12-566250-5","","","","","1981","2025-04-28 19:47:11","2025-04-28 19:52:47","","","263","","","","","","Organizational and occupational psychology","","","","Academic Press","New York","","","","","","Library Catalog (Blacklight)","BF637.N4 P78","","","","https://catalog.libraries.psu.edu/catalog/986869","Physical","Group decision making; Negotiation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URAUUCHH","book","1964","Brown, J. A. C.","Techniques of persuasion, from propaganda to brainwashing","","","","","","","1964","2025-04-28 19:47:36","2025-04-28 19:53:46","","","325","","","","","","Pelican books","A604","","","Penguin Books","Baltimore","","","","","","Library Catalog (Blacklight)","BF637.P4 B7","","","","https://catalog.libraries.psu.edu/catalog/1167314","Physical","Persuasion (Psychology)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I28IBWR4","book","1966","Fotheringham, Wallace C.","Perspectives on persuasion","","","","","","","1966","2025-04-28 19:47:49","2025-04-28 19:53:01","","","278","","","","","","","","","","Allyn and Bacon","Boston","","","","","","Library Catalog (Blacklight)","BF637.P4 F6","","","","https://catalog.libraries.psu.edu/catalog/1117589","Physical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78VKFHH4","book","1979","Larson, Charles U.","Persuasion: reception and responsibility","","978-0-534-00689-1","","","","","1979","2025-04-28 19:48:07","2025-04-28 19:53:13","","","292","","","","","Persuasion","","","","","Wadsworth Pub. Co","Belmont, Calif","","","","","","Library Catalog (Blacklight)","BF637.P4 L36 1979","","","","https://catalog.libraries.psu.edu/catalog/632562","Physical","Persuasion (Psychology)","","","","","","","","","","","","","","","","","","","","2d ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URKVNDTY","book","1982","Suls, Jerry M.","Psychological perspectives on the self","","978-0-89859-197-2 978-0-89859-276-4 978-0-8058-1181-0","","","","","1982","2025-04-28 19:48:21","2025-04-28 19:53:18","","","","","","","","","","","","","Lawrence Erlbaum Associates","Hillsdale, N.J","","","","","","Library Catalog (Blacklight)","BF697 .S925","","","","https://catalog.libraries.psu.edu/catalog/834457","Physical","Psychological aspects; Self; Social aspects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBJA5E4D","book","2005","Seigel, Jerrold E.","The idea of the self: thought and experience in western Europe since the seventeenth century","","978-0-521-84417-8 978-0-521-60554-0","","","","","2005","2025-04-28 19:49:41","2025-04-28 19:53:58","","","724","","","","","The idea of the self","","","","","Cambridge University Press","Cambridge ; New York","","","","","","Library Catalog (Blacklight)","BF697 .S45 2005","","","","https://catalog.libraries.psu.edu/catalog/2812033","Physical","History; Self","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DV5GFD2D","book","2002","","Self and motivation: emerging psychological perspectives","","978-1-55798-883-6","","","","","2002","2025-04-28 19:50:46","2025-04-28 19:53:26","","","226","","","","","Self and motivation","","","","","American Psychological Association","Washington, DC","","","","","","Library Catalog (Blacklight)","BF697 .S425 2002","OCLC: 48263776","","","https://catalog.libraries.psu.edu/catalog/2287972","Physical","Motivation (Psychology); Self","Tesser, Abraham; Stapel, Diederik A.; Wood, Joanne V.","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MU2F2WWR","book","1999","","Self-defined","","978-1-55670-937-1","","","","","1999","2025-04-28 19:51:24","2025-04-28 19:53:37","","","207","","","","","","","","","","Stewart, Tabori & Chang","New York","","","","","","Library Catalog (Blacklight)","BF697 .S4334 1999","","","","https://catalog.libraries.psu.edu/catalog/2018353","Physical","Psychology; Self; Self-perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
